iata,time_zone_id,name,city_code,country_id,location,elevation,icao,city,state
LOI,America/Sao_Paulo,Helmuth Baungartem,LOI,BR,POINT (-49.542778 -27.159721),1062,SSLN,Ibirama,Santa Catarina
MBZ,America/Manaus,Maues,MBZ,BR,POINT (-57.724955102848156 -3.3699246499999997),59,SWMW,Maues,Amazonas
MBK,America/Cuiaba,Matupa,MBK,BR,POINT (-54.932777 -10.0575),994,SWXM,Alta Floresta,Mato Grosso
AFL,America/Cuiaba,Alta Floresta Airport,AFL,BR,POINT (-56.10603812089458 -9.866163),790,SBAT,,
CDJ,America/Belem,Conceicao Do Araguaia,CDJ,BR,POINT (-49.283333 -8.233333),518,SBAA,,
CKS,America/Belem,Carajas Airport,CKS,BR,POINT (-49.99774268663904 -6.11655575),2063,SBCJ,,
MAO,America/Manaus,Eduardo Gomes International Airport,MAO,BR,POINT (-60.04575303314657 -3.03553825),259,SBEG,,
CMG,America/Campo_Grande,Corumba Internacional Airport,CMG,BR,POINT (-57.66975905679873 -19.0125785),485,SBCR,,
JCR,America/Santarem,Jacareacanga,JCR,BR,POINT (-57.533333 -5.983333),557,SBEK,,
MAB,America/Belem,Maraba Airport,MAB,BR,POINT (-49.166668 -5.366667),334,SBMA,,
OYK,America/Belem,Oiapoque,OYK,BR,POINT (-51.795727219974765 3.8562182),36,SBOI,,
PMW,America/Araguaina,Palmas Airport,PMW,BR,POINT (-48.35278 -10.241667),757,SBPJ,,
BVH,America/Porto_Velho,Vilhena Airport,BVH,BR,POINT (-60.09875397255124 -12.6940825),1922,SBVH,,
OIA,America/Belem,Ourilandia,OIA,BR,POINT (-51.047096751155294 -6.76392515),856,SDOW,,
LVR,America/Cuiaba,Mun. Do Bom Futuro,LVR,BR,POINT (-55.95025 -13.037861),1312,SILC,,
CFO,America/Cuiaba,Confreza,CFO,BR,POINT (-51.566666 -10.633333),751,SJHG,,
NPR,America/Santarem,Novo Progresso Municipal,NPR,BR,POINT (-55.400833 -7.125833),751,SJNP,,
JUA,America/Cuiaba,Juara,JUA,BR,POINT (-57.466667 -11.333333),870,SIZX,,
RDC,America/Belem,Redencao,RDC,BR,POINT (-49.97954959577524 -8.03127325),603,SNDC,,
ITI,America/Sao_Paulo,Itambacuri,ITI,BR,POINT (-41.5 -18),1394,SNYH,,
OBI,America/Santarem,Obidos,OBI,BR,POINT (-55.516666 -1.916667),95,SNTI,,
APU,America/Sao_Paulo,Apucarana,APU,BR,POINT (-51.483334 -23.55),2408,SSAP,,
PBV,America/Cuiaba,Porto Dos Gauchos,PBV,BR,POINT (-57.3333333 -11.5166667),807,SWPG,,
PBX,America/Cuiaba,Porto Alegre Do Norte,PBX,BR,POINT (-51.6844371 -10.8612428),629,SWPQ,,
JRN,America/Cuiaba,Juruena,JRN,BR,POINT (-58.49488557867951 -10.314160600000001),525,SWJU,,
OPS,America/Cuiaba,Sinop Airport,OPS,BR,POINT (-55.585581084918076 -11.88507355),1240,SBSI,,
AIR,America/Cuiaba,Aripuana,AIR,BR,POINT (-59.38333 -10.25),1095,SSOU,,
CCX,America/Cuiaba,Caceres,CCX,BR,POINT (-57.7 -16.066668),374,SWKC,,
CQA,America/Cuiaba,Canarana Airport,CQA,BR,POINT (-52.26867717855606 -13.57509615),1325,SWEK,,
LCB,America/Cuiaba,Pontes e Lacerda,LCB,BR,POINT (-59.99861 -13.013333),870,SWBG,,
CQS,America/Porto_Velho,Costa Marques,CQS,BR,POINT (-64.25192287574623 -12.4249231),456,SWCQ,,
DMT,America/Cuiaba,Diamantino,DMT,BR,POINT (-56.5 -14.5),744,SWDM,,
FBA,America/Manaus,Fonte Boa,FBA,BR,POINT (-66.08396647634501 -2.5323850500000002),150,SWOB,,
GRP,America/Araguaina,Gurupi,GRP,BR,POINT (-49.216667 -11.666667),898,SWGI,,
HUW,America/Manaus,Humaita,HUW,BR,POINT (-0.348669 53.583447),59,SWHT,,
IDO,America/Araguaina,Rio,IDO,BR,POINT (-50.666668 -11.566667),649,SWIY,,
JIA,America/Cuiaba,Juina,JIA,BR,POINT (-58.88333 -11.5),1069,SWJN,,
STZ,America/Cuiaba,Confresa,STZ,BR,POINT (-50.45 -10.300278),583,SWST,,
AZL,America/Cuiaba,Fazenda Tucunare Airport,AZL,BR,POINT (-58.866935 -13.465528),2020,SWTU,,
MGF,America/Sao_Paulo,Regional De Maringa,MGF,BR,POINT (-51.933334 -23.383612),1594,SBMG,Maringa,Parana
MII,America/Sao_Paulo,Dr Gastao Vidigal Airport,MII,BR,POINT (-49.933334 -22.2),2014,SBML,Marilia,Sao Paulo
MQH,America/Sao_Paulo,Municipal,MQH,BR,POINT (-48.233334 -13.533333),1312,SWIQ,Cavalcante,Goias
MVS,America/Bahia,Aeroporto Max Feffer,MVS,BR,POINT (-39.566666 -18.083332),32,SNMU,Mucuri,Bahia
NQL,America/Sao_Paulo,Niquelandia,NQL,BR,POINT (-48.983334 -14),1758,SWNQ,Uruacu,Goias
OAL,America/Porto_Velho,Cacoal Airport,OAL,BR,POINT (-61.4825 -11.433889),597,SSKW,Cacoal,Rondonia
ORX,America/Santarem,Oriximina,ORX,BR,POINT (-55.86667 -1.75),141,SNOX,Oriximina,Para
PBB,America/Campo_Grande,Paranaiba,PBB,BR,POINT (-51.183334 -19.666668),1348,SSPN,Paranaiba,Mato Grosso do Sul
PBQ,America/Porto_Velho,Pimenta Bueno,PBQ,BR,POINT (-61.2 -11.7),626,SWPM,Pimenta Bueno,Rondonia
PDF,America/Bahia,Prado,PDF,BR,POINT (-39.216667 -17.35),32,SNRD,Prado,Bahia
PGG,America/Santarem,Progresso,PGG,BR,POINT (-55.46111 -6.954167),688,,Jacareacanga,Para
PIG,America/Boa_Vista,Pitinga,PIG,BR,POINT (-51.716667 -24.75),2808,,Pitanga,Parana
PIV,America/Sao_Paulo,Pirapora,PIV,BR,POINT (-44.93222 -17.338612),1653,SNPX,Pirapora,Minas Gerais
PNB,America/Araguaina,Porto Nacional,PNB,BR,POINT (-48.39911065205263 -10.71799955),810,SDPE,Palmas,Tocantins
PPB,America/Sao_Paulo,A. De Barros Airport,PPB,BR,POINT (-51.45 -22.1),1332,SBDN,Alvares Machado,Sao Paulo
PSW,America/Sao_Paulo,Passos,PSW,BR,POINT (-46.61667 -20.716667),2427,SNOS,Passos,Minas Gerais
PTO,America/Sao_Paulo,Pato Branco,PTO,BR,POINT (-52.694225841764215 -26.2169937),2687,SBPO,Pato Branco,Parana
PVI,America/Sao_Paulo,Edu Chaves,PVI,BR,POINT (-52.466667 -23.066668),1358,SSPI,Paranavai,Parana
QSC,America/Sao_Paulo,Sao Carlos,QSC,BR,POINT (-47.90275820931602 -21.8730674),2637,SDSC,Ibate,Sao Paulo
RBB,America/Manaus,Borba,RBB,BR,POINT (-59.60435028003239 -4.40582015),88,SWBR,Borba,Amazonas
RAO,America/Sao_Paulo,Dr. Leite Lopes State Airport,RAO,BR,POINT (-47.773335 -21.135834),1791,SBRP,Ribeirao Preto,Sao Paulo
RBR,America/Rio_Branco,Pres. Medici Airport,RBR,BR,POINT (-67.8 -9.966667),462,SBRB,Rio Branco,Acre
RIG,America/Sao_Paulo,Rio Grande,RIG,BR,POINT (-52.16620090786992 -32.0824308),49,SJRG,Rio Grande,Rio Grande do Sul
ROO,America/Cuiaba,Rondonopolis Airport,ROO,BR,POINT (-54.716667 -16.433332),1085,SBRD,Rondonopolis,Mato Grosso
RWS,America/Sao_Paulo,Sumare,RWS,BR,POINT (-47.192223 -22.800556),1961,,Paulinia,Sao Paulo
SBJ,America/Sao_Paulo,Sao Mateus,SBJ,BR,POINT (-39.733334 -18.583332),19,SNMX,Conceicao da Barra,Espirito Santo
SFK,America/Belem,Soure,SFK,BR,POINT (-48.522920096540616 -0.69864855),39,SNSW,Soure,Para
SFV,America/Sao_Paulo,Santa Fe Do Sul,SFV,BR,POINT (-50.166668 -19.833332),1443,,Iturama,Minas Gerais
SJK,America/Sao_Paulo,Sao Jose Dos Campos,SJK,BR,POINT (-46.11667 -23.183332),2303,SBSJ,Santa Isabel,Sao Paulo
SJL,America/Manaus,Da Cachoeira,SJL,BR,POINT (-66.98557275279653 -0.1483109),239,SBUA,Sao Gabriel da Cachoeira,Amazonas
SQX,America/Sao_Paulo,Sao Miguel do Oeste,SQX,BR,POINT (-53.502777 -26.780556),2112,SSOE,Bernardo de Irigoyen,Misiones
SRA,America/Sao_Paulo,Santa Rosa,SRA,BR,POINT (-54.483334 -27.866667),862,SSZR,Santa Rosa,Rio Grande do Sul
SSZ,America/Sao_Paulo,Santos,SSZ,BR,POINT (-46.36667 -23.933332),29,SBST,Sao Vicente,Sao Paulo
SWM,America/Cuiaba,Suia-Missu,SWM,BR,POINT (-53.25 -11.216667),895,,Sinop,Mato Grosso
TBT,America/Manaus,Tabatinga International Airport,TBT,BR,POINT (-69.933334 -4.233333),279,SBTT,Tabatinga,Amazonas
TFL,America/Sao_Paulo,Teofilo Otoni,TFL,BR,POINT (-41.5 -17.85),1572,SNTO,Teofilo Otoni,Minas Gerais
TFF,America/Manaus,Tefe Airport,TFF,BR,POINT (-64.72460759140549 -3.3824045),188,SBTF,Tefe,Amazonas
